source,imageURLs,productURL,reviewURL,sku,brand,model,modelNumber,title,price,ratingAvgDisplay,ratingNum,ratingAvg,questionNum,batteryLife,totalStorageCapacity,storageType,operatingSystem,processorCores,processorBrand,processorSpeedBase,processorModel,systemMemoryRam,systemMemoryRamType,graphics,screenSize,screenResolution,screenResolutionName,productWeight,color,numberOfUsbPortsTotal,numberOfUsb2Ports,numberOfUsb3Ports,backlitKeyboard,internetConnectivity,bluetoothEnabled,touchScreen,titleStandard,ReviewsN,ReviewsN_Student,ReviewsN_Professional,ReviewsN_Creative,ReviewsN_Gaming,Reviews_Personal,Reviews_travel,reviews,reviewSnippets,Bad Reviews,StudentReviews,CreativeReviews,ProfessionalReviews,GamingReviews.1,PersonalReviews,TravellingReviews,Detected_Categories
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Dell-DellBook 900,https://www.amazon.de/Dell-DellBook 900#reviews,DEL1751,Dell,DellBook 900,DEL-9426,Dell DellBook 900 Laptop,826.16,3.8,69,4.9,5,9 hours,512GB Hybrid,Hybrid,macOS,6,Apple,3.5 GHz,i3-1115G4,8 GB,DDR4,NVIDIA MX450,17 inch,2560 x 1600,Retina,1.8 kg,Silver,4,1,3,No,Wi-Fi 5,Yes,Yes,"Dell DellBook 900, 17 inch, 2560 x 1600, i7-1255U","Not touchscreen! Sticker even says on computer that it is touch screen and is not. || So far so good love it works great for me || Awesome laptop for the money looks brand new and works great! || I’ve had this laptop for 5 years now. The best windows laptop I’ve ever owned. || It's a very good computer but I'm having problems with the sound || Bought this for my grand kids and it’s perfect for them! || Bad ass laptop. I am typing this review on it right now! || the first touch screen to work well for me. Better than lenovos by far, || So far so good, using it for last 1 month. || I like the laptop, but the battery goes down quickly. || Aside from a few nics in the paint, it is like new. || Battery is the worst will not last 45 minutes. Otherwise operable laptop for the price || Disliked malfunctioning of mouse buttons. Used it for many things || It's perfect for my daughter and for being refurbished, it's in great shape || Use for music theory. It works perfectly. No issues or complaints here. || I bought this July 9, 2017. To this day it works beautifully. :) &#60;3 || It’s simply great, I really like this laptop as it was a much needed upgrade. || Excellent fast computer my son loves it good computer for the price || The PC might be great, but I received it broken. || Its good I bought it to gift someone... but it's way to heavy",,,,,,,Excellent display clarity || Overheats on heavy use,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Affordable for students  ,,,,,,none || professional || professional || none || none || none || none || professional || none || none || none || none || none || none || professional || professional || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Apple-AppleBook 215,https://www.amazon.de/Apple-AppleBook 215#reviews,APP5431,Apple,AppleBook 215,APP-1224,Apple AppleBook 215 Laptop,535.22,3.8,493,4.3,10,11 hours,256GB HDD,HDD,macOS,8,Intel,3.5 GHz,Ryzen 5 5600U,8 GB,DDR4,NVIDIA MX450,15.6 inch,1366 x 768,HD,1.8 kg,Blue,3,2,1,No,Wi-Fi 6,No,Yes,"Apple AppleBook 215, 15.6 inch, 1366 x 768, Ryzen 5 5600U","It's fast, it's beautiful, the keyboard is backlit. The screen is bright and clear. || Power button not worked properly, everything else works as expected || excellent service and delivered as promised and happy with the computer || Screen, speed, elegance, versatility and light. All around a great laptop. || It is a computer that I do not have any frustrations over || Never functioned well since I bought it so I would avoid this computer. || it gets stuck and wont shut down until i remove the battery manually || Battery dies within 2 hours, even when not in use. || I've had no issues with my purchase. Delivery was timely and it meets all specs. || Claims to ski touchscreen, and have backlit keyboard, but does NOT! || the hinges broke within one year causing the display to go. this sucked big time!!! || It is not a touch screen; I am not very happy with it. || So Far So Good. Amazingly light compared to my lat HP 17 || No Bluetooth on this model even though it claims to have it. || Arrived as expected, just replaced original HDD to SSD, and i have superb fast notebook. || So far so good. Recommended for every professional who needs to work from home. || Exactly as advertised. Delivered on time and it hasn't given me any problems. || Laptop is actually what we expected and works well. Good price. || The fan has been making very loud noises. Not pleased. || verynice, wasn't sure about a chromebook' but has exceeded my expectations",,,,,,,Lightweight and travel friendly || No backlit keyboard,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Handles Zoom and Teams well  ,,,,,,none || professional || none || none || none || none || none || none || none || none || none || none || none || none || none || professional || none || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Asus-AsusBook 506,https://www.amazon.de/Asus-AsusBook 506#reviews,ASU8337,Asus,AsusBook 506,ASU-1502,Asus AsusBook 506 Laptop,318.65,3.8,333,3.6,47,12 hours,1024GB Hybrid,SSD,Windows 10,6,AMD,3.2 GHz,i3-1115G4,16 GB,DDR4,Apple GPU,15.6 inch,2560 x 1600,Retina,2.1 kg,Black,2,1,1,Yes,Wi-Fi 6,No,No,"Asus AsusBook 506, 15.6 inch, 2560 x 1600, Ryzen 5 5600U","Battery life is very low, but the laptop itself works great || a little heavy but I think she will be happy || It’s a wonderful purchase!! I love this thinkpad and I’m very happy I purchased it!! || This is a wonderful computer with the just the right amount of computing power. || I like it very much, my son likes it even more || Great product. I wish the written on the sides were readable better. || Didn't last very long. Customer service was poor from Lenovo. || I like what you can do for the money. It’s lightweight, so is easily portable. || Excellent product! Ordered two and both are perfect! Don’t hesitate to order this product. || This was great buy for the price for the amount I use it for work. || Keep on my kitchen counter to look up food sales and recipes. || I was not holding the shift key!!! the chrome tablet is PERFECT!!!! || I received the item but no changer came with it || Not as easy to use as a windows based devise. || Did not even make it 90 days before problems became more frequent || I don’t like it cuz I complain about the battery and requested a return || Needed a simple portable computer for my very small consulting business and this is perfect! || Great computer for my needs. Dumped windows 10. To many popups Installed. Yeah linux || Keys are not of great quality and it is slow,,,,I wish I had returned it || A bit slow for quad core, but just fine for regular computing",,,,,,,Lightweight and travel friendly || No backlit keyboard,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Smooth for multitasking school work  ,,,,,,professional || none || none || none || none || none || none || travel || none || professional || none || none || none || none || none || none || professional || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/HP-HPBook 936,https://www.amazon.de/HP-HPBook 936#reviews,HP9436,HP,HPBook 936,HP-6610,HP HPBook 936 Laptop,1143.79,3.8,325,3.6,43,6 hours,256GB HDD,SSD,Windows 10,8,AMD,2.3 GHz,Ryzen 5 5600U,32 GB,DDR4,Intel Iris Xe,17 inch,1366 x 768,HD,2.0 kg,Grey,4,2,2,Yes,Wi-Fi 5,Yes,Yes,"HP HPBook 936, 17 inch, 1366 x 768, i5-1135G7","Seems to be a good lil computer, but time will tell || Basic laptop, even brand new don't expect a quick high performance. || bought 2 great price but get what u pay for . SUPER SLOW || Button responses are erratic on both keyboard and mouse-pad. Slower than I had hoped. || It was okay. Pretty good deal for the price, but not great. || Very user-friendly with a good battery life. Nice touch screen. Works well for my needs. || As described. Perfect size and weight , speed and memory for my needs. || I love it. It's small , but powerful. Best thing ever. || Love it. Still playing with it learning all the fun uses. || Nice, small and light laptop. And price is good too. || Garbage has quit 10 months after I purchased it. Do not but! || It has been in the service center longer than we have it || Had a craking, staticky noise coming from the speakers, very annoying. || Took forever to ship. Works, but there are some bugs with the speakers/sound. || after 2 weeks of using the screen would go black. returned for refund. || daughter loves it. But the battery life could be a bit longer || Was very slow. Returned. Waiting for them to send replacement. || Laptop stop working after one week of use. The screen remained blank || Screen is constantly flickering, terrible purchase. Wouldnt recomend this device to others || I have no cons. This computer is worth the money.",,,,,,,Perfect for students || Touchpad not responsive,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Compact and easy to travel with  ,,,,,,none || none || none || none || none || professional || none || none || student || none || none || none || none || professional || none || none || none || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Dell-DellBook 776,https://www.amazon.de/Dell-DellBook 776#reviews,DEL6182,Dell,DellBook 776,DEL-4406,Dell DellBook 776 Laptop,723.52,3.5,326,4.0,4,7 hours,1024GB SSD,Hybrid,Windows 11,2,AMD,3.2 GHz,M2,8 GB,DDR4,Apple GPU,14 inch,2560 x 1600,Retina,1.6 kg,Silver,3,0,2,Yes,Wi-Fi 5,Yes,Yes,"Dell DellBook 776, 14 inch, 2560 x 1600, i3-1115G4","Machine worked as expected right out of the box. No complaints. || We bought this for our Granddaughter for a Christmas gift and she LOVES it! || So far so good, only been using it for 5 days || freezes occasionally here and there but only for brief moments. Otherwise is a wonderful computer || Don't buy, sadly disappointed. So slow, no touchscreen and battery life was horrible. || Great exactly what i wanted love it not a touch screen || CLEAR EASY TO READ SCREEN . Dont use the battery. KAVENT USED TOUCH SCREEN || Speakers are blown out and it doesn’t even run as fast as it should. || Was delivered fast as advertised. Looks and works great can't beat it for $300! || Awesome fast and only thing was no driver for bluetooth || It was as I expected. Even intend to buy another! || Good Product. Battery Life is only 30 minutes. Works well || Returning this. Touchpad Inop. FingerprintReader Inop FXE-E61 error. Boot not recognized. Bad HD? || it should come as 16G ram but it comes as only 8G ram || It didn’t seem to be well refurbished as other refurbished products I tested || Packaged very well, instructions were clear for downloads. Works perfect and looks great! || Fast shipping. Great performance with high end configurations. &#34;Refurbished&#34; is not a concern at all. || Never buy a refurbished one !!! It was already used! , bad condition!! || arrived in poor condition, full of dirt and breadcrumbs, outside finish scratched. || I like it just wish all my finger prints wouldn’t show.",,,,,,,Lightweight and travel friendly || No backlit keyboard,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Works well for documents and email  ,,,,,,professional || none || none || none || none || none || none || none || professional || none || none || professional || none || none || none || professional || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/HP-HPBook 408,https://www.amazon.de/HP-HPBook 408#reviews,HP1027,HP,HPBook 408,HP-7135,HP HPBook 408 Laptop,685.46,4.7,82,3.8,33,12 hours,256GB HDD,HDD,macOS,6,Apple,3.3 GHz,i5-1135G7,8 GB,DDR4,Apple GPU,15.6 inch,1920 x 1080,Full HD,2.1 kg,Grey,2,2,3,Yes,Wi-Fi 5,Yes,Yes,"HP HPBook 408, 15.6 inch, 1920 x 1080, i7-1255U","The keyboard layout is odd. Fan is sometimes noisy. Otherwise this is a decent machine || This is a touch of power in your hands, the creation merge in one piece. || Very good laptop , it lightweight and fast and good human design, I loved it || Loving a laptop and a pad all at the same time || I liked the screen but not the keyboard or the sound. || Great graphics, very fast. Price was excellent with very fast delivery. Recommend product and seller. || Simply a great laptop. So nice I purchased two of them. || Battery was replaced by seller when I complained. Cooperative seller. Laptop working well || I received the equipment as it was advertised, it fulfills my requirement! || Worked properly upon imaging and windows updates - will be reusing vendor in the future. || great little laptop, shows a little wear, but no issues at all! || It allows me to perform various tasks I could not perform on my tablet. || Battery quit working on me after maybe 50-75 hours of use. || The item that I received was according with specifications published. || Great product, some aesthetic scratches and slight wear and tear. || Great Laptop. great speed, All as described in the Ad. || The laptop is super. Love it. Could not get a better price || Plugged in to charge, but the battery would not go above 1%. Returned. || Seller knew it did not work and sold it anyway. Stopped working after 7 months || Do not buy! The specs on the listing are not accurate to the product received.",,,,,,,Excellent display clarity || Overheats on heavy use,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,Keyboard comfortable for long typing,,,,,,none || none || creative || none || none || none || none || professional || none || professional || none || none || professional || none || none || none || none || none || professional || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Lenovo-LenovoBook 739,https://www.amazon.de/Lenovo-LenovoBook 739#reviews,LEN8200,Lenovo,LenovoBook 739,LEN-5864,Lenovo LenovoBook 739 Laptop,658.08,4.9,229,3.9,49,8 hours,1024GB HDD,HDD,Windows 10,2,Intel,2.4 GHz,Ryzen 5 5600U,32 GB,DDR4,Apple GPU,13.3 inch,1366 x 768,HD,1.8 kg,Blue,2,0,2,No,Wi-Fi 5,Yes,Yes,"Lenovo LenovoBook 739, 13.3 inch, 1366 x 768, Ryzen 5 5600U","Item was not a touchscreen and did not have backlit || The computer was advertised as 16GB. Mine only came with 8GB. || Best small laptop with speed and storage. I will buy refurbished again || Thin, light, fingerprint sensor works great. Love the color i got. || An elegant design, very comfortable, high performance, not expensive ultrabook. || Do not buy Amazon renew… the laptop did not work, battery is not working || Not a good battery life and some product design issue || The laptop was great but we had some very minor issues on our part. || Exactly what I order no major scratches or anything. Just what I was expecting || Best laptop/tablet for the best price. It looks brand new. || Works perfectly, my wife uses it a lot and she absolutely loves it. || Fast, amazing resolution, it just great, great deal as well || My daughter loves hers. Does school work on it. Listens to music. Social networking. || This product did not last long battery cord was defective. || My kids use this and I'm always surprised by how long the battery lasts. || Purchased as part of an Xmas gift. Looked great and the kiddo loved it! || We bought this for our daughter and it is great for her homework. || Exactly as worded. My daughter uses this for school and works amazing. || I'm really enjoying my laptop. It's exactly what I hoped for. || A little smaller than I pictured but overall a great but🤗",,,,,,,Perfect for students || Touchpad not responsive,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Excellent color accuracy for design work  ,,,,,none || none || none || professional || creative || professional || creative || none || none || none || professional || none || personal || none || none || none || professional || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Dell-DellBook 524,https://www.amazon.de/Dell-DellBook 524#reviews,DEL2608,Dell,DellBook 524,DEL-3519,Dell DellBook 524 Laptop,1128.99,4.7,150,4.3,19,7 hours,1024GB Hybrid,HDD,macOS,4,Apple,1.8 GHz,M2,32 GB,DDR4,Apple GPU,14 inch,1920 x 1080,Full HD,1.8 kg,Silver,3,0,1,No,Wi-Fi 6,Yes,Yes,"Dell DellBook 524, 14 inch, 1920 x 1080, i3-1115G4,","daughter uses it for school, works great and good price || My fianc&eacute; loves it!! She loves how compact it is. || i love it! perfect size to carry around with you. || The internal microphone is not working. I just bought this item in December. UGH!!! || This will only work for about 5 months then won’t turn on or power up || wont connect to the internet it did know it wont piece of crap || The screen went blank the first week we got it. Don't buy refurbished. || Wouldn’t turn on I had a lot of problems having to return || Screen Has A Glit After The 2nd Day of Using It || computer works, wife likes it, bought for wife. No problems so far and seems ok || Thank you for this computer. Great value and works perfectly || This was delivered on time. The computer has some issues though. || Sound card acted out from the beginning. No like that much. Nay. || Has a power issue - reboots occasionally after going dormant || I use this for audio/video and word processing and more....no issues or hassles || The batterie life is not good. I always have to connect before working. || It is exactly what i expected. Very good condition. Thank you for your good work. || piece of junk please send me a shipping lable i want my money back || Works better than my job's PC, which has a Core I7. || Didn’t even work when I got it total waste of money",,,,,,,Sleek design || Gets fingerprint smudges,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Ideal for Adobe Creative Suite  ,,,,,professional || travel || travel || professional || professional || none || none || none || none || professional || professional || none || none || none || none || professional || professional || none || professional || professional
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Lenovo-LenovoBook 487,https://www.amazon.de/Lenovo-LenovoBook 487#reviews,LEN9960,Lenovo,LenovoBook 487,LEN-7866,Lenovo LenovoBook 487 Laptop,527.36,4.5,68,4.9,4,7 hours,512GB HDD,HDD,Windows 10,2,Intel,3.2 GHz,M2,16 GB,DDR4,Intel Iris Xe,17 inch,1366 x 768,HD,1.9 kg,Grey,3,2,2,No,Wi-Fi 6,No,Yes,"Lenovo LenovoBook 487, 17 inch, 1366 x 768, Ryzen 5 5600U","Just getting it hooked up to the internet. Nice and light. || The product was exactly what I expected and Amazon outdid themselves. || Screen looked like it got rewashed 1000 times had to send it back || I am surprised by it being fast and has a nice picture || Great value, great seller, fast shipping. Had a small problem, they took care of imeadetly || This Dell laptop will not charge What do I do about it. || Laptops works perfectly with no issues. Looks new with very little signs of use. || I bought this for my daughter's school work. Very quick, great screen, works perfectly. || My unit arrived with a warped keyboard and a dead pixel on the computer screen. || This laptop is one of the very best to buy!! || Cant beat the price, a business laptop at student prices! || My laptop will not power on, do I have a warranty on my laptop. || Perfect performance for the price. Only setback was the big gaps between the keyboard keys. || Excellent battery power, appearance perfect, performance equal to new. Very pleased || My computer arrived in excellent condition. Works like a new one. || Mine came with a bad battery but still for the price it can't be beat. || there was no camera with it and the software was very limited || About what you'd expect from a $500 laptop. Not terrible, not great. || The description stated ""new"" but the computer tag shows year 2015. || Great little Crome Book! Excellent for Amazon Prime and You Tube !!",,,,,,,Perfect for students || Touchpad not responsive,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Handles 4K video editing well  ,,,,,none || none || none || none || none || none || professional || professional || none || none || professional || none || none || none || professional || none || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/HP-HPBook 411,https://www.amazon.de/HP-HPBook 411#reviews,HP4405,HP,HPBook 411,HP-9951,HP HPBook 411 Laptop,854.38,4.3,19,4.1,41,12 hours,256GB HDD,SSD,Windows 10,8,Intel,2.8 GHz,i5-1135G7,8 GB,DDR4,Intel Iris Xe,14 inch,2560 x 1600,Retina,1.3 kg,Black,3,1,1,Yes,Wi-Fi 5,No,No,"HP HPBook 411, 14 inch, 2560 x 1600, i5-1135G7","love it .very much worth it. with HDMI port can view on tv. || This is my second Chromebook. Wouldn't want anything else. It does all I need. || My daughter love if she takes it everywhere she goes when she spend the night... || I had a great experience whit this product I am very happy Thanks || We use these for homeschooling. Good, solid, basic laptop. Excellent value. || With USB 3.0 I ASSUMED it would have had an HDMI port. || Got a good deal pricewise, should have considered more processing speed.. || Touch pad is a little awkward to use but it's otherwise a perfectly fine laptop. || I bought this for my wife and she loves it || Great and fast laptop for a good price. Fast gigabit Ethernet port || Was a rebuilt unit. Worked just fine. Sturdy workhorse of a laptop. || This Ultrabook is quite light and serves my purpose very well || Excellent product. Quick service. This Thinkpad is working as expected. || Im tried to contack the seller but no luck, the charger is defective || The design is perfect in my mind, the performance is good, || Good quality, 11 inches large with 13 inches screen. Very portable and easy to use || Love the weight, love the size, love the resolution, Love it all! || Bought 2 - Had to replace both within 2 years || work great, love this model. they don't make this kind of computer anymore. || Awesome laptop and good price for such a good machine.",,,,,,,Smooth for gaming || Low frame rate occasionally,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Responsive stylus for digital artists  ,,,,,none || none || none || none || student || none || none || none || none || none || professional || none || professional || none || creative || travel || none || none || professional || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Dell-DellBook 625,https://www.amazon.de/Dell-DellBook 625#reviews,DEL3121,Dell,DellBook 625,DEL-6071,Dell DellBook 625 Laptop,835.41,4.2,175,4.0,39,12 hours,256GB Hybrid,Hybrid,Linux,2,Intel,2.0 GHz,i5-1135G7,8 GB,DDR4,Intel Iris Xe,17 inch,1920 x 1080,Full HD,1.6 kg,Silver,3,1,3,No,Wi-Fi 5,Yes,Yes,"Dell DellBook 625, 17 inch, 1920 x 1080, i3-1115G4","Won't turn on after a 6 months of light use. Very disappointed. || it wouldn't even turn on when taken out of the box || Mine also came dead on arrival. No battery. Very disappointed. || Paid a lot of money to have so much trouble with charging cable. || Very good device. Google play apps need improvements but working || Great for my needs. It gives me a tool for both work and play. Thanks! || Its awesome went from an iPad to this no comparison . || Love it, exactly what I need! Very lite and versatile. || Please see the Microsoft Office note I DID NOT NEED || Really happy with this buy looks great, works great and was a really good price. || Love it but, you forgot the photo and screen shot buttons for tablet mode ! || This is an amazing laptop it's light weight, I just love it!! || I’ve been using this laptop for 4 years. Everything is working great so far. || Very fast, no scratches. Could not tell it had been used || It is light and handy. The it is also fast. || Clean, looks like new, everything looks and act like perfect. || Fantastic laptop. No regrets at all. Product received as expected. Excellent seller. || Love everything about the Flex. It's fast, great screen, perfect size for me. || Unlike many other manufacturers for a 4k laptop the price is pretty good. || It is a very thin laptop that easy to carry around.",,,,,,,Sleek design || Gets fingerprint smudges,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,High resolution display for photo editing  ,,,,,none || none || none || none || professional || professional || none || none || professional || professional || none || none || professional || none || none || none || none || none || none || travel
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Acer-AcerBook 507,https://www.amazon.de/Acer-AcerBook 507#reviews,ACE9769,Acer,AcerBook 507,ACE-8256,Acer AcerBook 507 Laptop,452.32,4.1,150,3.8,24,10 hours,512GB SSD,HDD,Windows 11,2,Intel,3.3 GHz,Ryzen 5 5600U,32 GB,DDR4,AMD Radeon Vega 8,15.6 inch,1920 x 1080,Full HD,1.8 kg,Black,3,2,1,Yes,Wi-Fi 6,No,Yes,"Acer AcerBook 507, 15.6 inch, 1920 x 1080, M2","Excellent product. All that you need in a business laptop || Really great lap top for the price. Video is awesome and sound is great. || This was is a great chromebook for a low cost. || Got it and speakers were bad. I bought a set of Bluetooth ear buds. || Works really well. No issues. Light weight and portable. Love the size. || Video/photo editing is a hobby of mine and this Dell serves me well. || Perfect size, touch screen, SSD drive , great product, great support. || slim, solid feeling and fast laptop. works well for all day-o-day computer needs || Very light and fast with ssd memory. I love it. || quick delivery, great product from the US to Australia - thanks || It's good laptop for me,lightweight, easy to carry, good response. || Good performance and value. It was advertised to have a touchscreen, but it does not. || Terrible, slow, hard to use, audio doesn’t work sometimes, youtube doesn’t work sometimes. || Power supply was DOA. Messaged seller twice and received no response. || HDD is slow. swap out for SSD and instant satisfaction. Bang for Buck. || Quality refurb! Wrks just like new for fraction of the price. Love it. || Reliable workhorse. May not have the most sizzle, but extremely functional. || Didn’t work it was stuck on repairing disk errors all day || It doesn't have a DVD/Cd rom drive. Had to buy a external one || Hi. Was impressesed at first. now the screen aint coming on. Help. Cyralene",,,,,,,Excellent display clarity || Overheats on heavy use,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Powerful GPU for rendering tasks  ,,,,,professional || none || none || none || professional || creative || none || professional || none || none || travel || none || professional || none || none || none || professional || professional || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Acer-AcerBook 285,https://www.amazon.de/Acer-AcerBook 285#reviews,ACE3590,Acer,AcerBook 285,ACE-6695,Acer AcerBook 285 Laptop,332.67,4.0,147,3.8,29,7 hours,512GB HDD,Hybrid,macOS,4,Apple,2.4 GHz,i7-1255U,32 GB,DDR4,Intel Iris Xe,15.6 inch,1920 x 1080,Full HD,2.0 kg,Grey,4,0,2,No,Wi-Fi 5,Yes,No,"Acer AcerBook 285, 15.6 inch, 1920 x 1080, i5-1135G7","great laptop for the price. its certainly not fancy but its what inside that counts || Excellent laptop, easy to use, run smooth and cheap. I recommend this one. || Slowest Laptop ever. Battery and charging issue within a year of purchase. || Was gift for wife. She loved it. Functional, light weight, fast || SO FAR SO GOOD I LOVE IT I JUST HOPE IT HAS LONGEVITY || when connected to wifi its very slow even to just click folder || The pc was in really good condition and worked well. excellent value || Great for college and work so not a waste of money! || Very happy with my computer. Easy to work with seller. || Best price, on time delivery, the item looks like new, power adapter genuine. Excellent choice || Laptop arrived as advertised. It was in pristine condition. Very satisfied with my purchase. || Everything is great but a few keys are tricky to push. || Bought for my son for college. Right out of the box was running very slow. || Great laptop! I have no cons... only all PROs!!! I highly recommend this laptop!!! || If it was touch is the only thing that would have made it perfect || This was a gift for my granddaughter and she loves it. || Got it for my mom just roaming the internet, she loves it. || great for a simple computer that could be used by anyone || Did not like at all. Cheap cheap cheap. Sent it back || Excellent buy, saved few hundreds and my son loves it. Highly recommend this laptop.",,,,,,,Fast boot and app load || No USB-C port,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Great performance for animation workflows  ,,,,,none || none || none || none || none || none || professional || professional || professional || none || none || none || student || none || none || none || none || none || none || none
Amazon,['https://images.unsplash.com/photo-1517336714731-489689fd1ca8'],https://www.amazon.de/Lenovo-LenovoBook 726,https://www.amazon.de/Lenovo-LenovoBook 726#reviews,LEN8634,Lenovo,LenovoBook 726,LEN-7927,Lenovo LenovoBook 726 Laptop,866.11,4.4,287,4.2,43,10 hours,256GB SSD,HDD,macOS,4,AMD,3.0 GHz,i5-1135G7,8 GB,DDR4,AMD Radeon Vega 8,14 inch,1920 x 1080,Full HD,1.7 kg,Silver,4,1,3,Yes,Wi-Fi 6,Yes,Yes,"Lenovo LenovoBook 726, 14 inch, 1920 x 1080, i3-1115G4, 8GB RAM","This Laptop i'm using for 9 months it's super fast!!!! very portable as well!!!! || Purchased this for my 16 year old son for school. Cannot praise this laptop enough || This computer is fast, slim, and easy to use. It fits my needs perfectly. || No problems with it. My college bound engineering student was thrilled. || Perfect Laptop for student. Its really friendly for student like us. || The touchpad didn't work, I had to return the laptop to Amazon || The laptop was super fast but the SSD crashed after dropping it. || I even don't have a chance to turn it on it was a broken laptop || The computer came in great shape as described and arrived sooner than promised. || This laptop was easy to setup and has worked very well. Great value. || I like that it may be refurbished but it looks new || Good refurbish computer. Keyboard is new, screen perfect and battery last for over two hours. || It worth more than it value. Very lucky to get mine when I got it. || It's perfect for my daughter and watching movies on Netflix. || My son loved it to do homework from home and school work Thank you || Great for all the things I do, while I'm on the go || I would recommend this to anyone who just likes surfing the web. It works great! || So far, so good. I love my little chrome book. Perfect for my purposes. || A very good quality laptop with the reasonable price especially with a touchscreen. || Super high quality robust little lap-top. Excellent bang for your buck!",,,,,,,Smooth for gaming || Low frame rate occasionally,Handles AAA titles smoothly || Great refresh rate display || Low input lag || Good thermal control || Loud and clear audio,Weak Wi-Fi in airports || Screen glare in sunlight || Charger bulky for travel || Scratches easily || Gets hot on lap,,Reliable for creative professionals  ,,,,,travel || student || none || student || student || professional || none || none || none || professional || none || none || none || personal || professional || none || personal || none || none || none
